timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1662881629761,4164,https://redberylit.com/index.php,200,OK,Thread Group 1-1,text,true,,1139085,15109,1,1,https://redberylit.com/index.php,1911,0,931
1662881629761,1924,https://redberylit.com/index.php-0,200,OK,Thread Group 1-1,text,true,,23342,614,1,1,https://redberylit.com/index.php,1911,0,931
1662881631781,815,https://redberylit.com/index.php-1,200,OK,Thread Group 1-1,bin,true,,4159,623,1,1,https://redberylit.com/images/favicon.png,815,0,515
1662881631781,506,https://redberylit.com/index.php-2,200,OK,Thread Group 1-1,text,true,,132608,618,1,1,https://redberylit.com/css/style.css,254,0,0
1662881631781,818,https://redberylit.com/index.php-3,200,OK,Thread Group 1-1,text,true,,56724,616,1,1,https://redberylit.com/css/all.css,815,0,516
1662881631781,816,https://redberylit.com/index.php-4,200,OK,Thread Group 1-1,text,true,,12854,624,1,1,https://redberylit.com/css/cookiealert.css,815,0,515
1662881631782,606,https://redberylit.com/index.php-5,200,OK,Thread Group 1-1,text,true,,108547,640,1,1,https://www.googletagmanager.com/gtag/js?id=UA-164160321-1,505,0,244
1662881631782,815,https://redberylit.com/index.php-6,200,OK,Thread Group 1-1,bin,true,,7180,620,1,1,https://redberylit.com/images/logo.png,814,0,515
1662881632390,298,https://redberylit.com/index.php-7,200,OK,Thread Group 1-1,bin,true,,67007,626,1,1,https://redberylit.com/images/banner-i-7.png,279,0,0
1662881632598,255,https://redberylit.com/index.php-8,200,OK,Thread Group 1-1,bin,true,,10754,626,1,1,https://redberylit.com/images/banner-i-8.png,252,0,0
1662881632598,247,https://redberylit.com/index.php-9,200,OK,Thread Group 1-1,bin,true,,3761,626,1,1,https://redberylit.com/images/banner-i-9.png,247,0,0
1662881632627,276,https://redberylit.com/index.php-10,200,OK,Thread Group 1-1,bin,true,,78971,627,1,1,https://redberylit.com/images/rs-banner-2.png,258,0,0
1662881632685,704,https://redberylit.com/index.php-11,200,OK,Thread Group 1-1,bin,true,,392000,623,1,1,https://redberylit.com/images/cloud-1.png,235,0,0
1662881632688,264,https://redberylit.com/index.php-12,200,OK,Thread Group 1-1,bin,true,,4472,624,1,1,https://redberylit.com/images/preloder.png,264,0,0
1662881632731,754,https://redberylit.com/index.php-13,200,OK,Thread Group 1-1,text,true,,2004,667,1,1,https://redberylit.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,754,0,521
1662881632846,255,https://redberylit.com/index.php-14,200,OK,Thread Group 1-1,text,true,,87715,627,1,1,https://redberylit.com/js/jquery-3.3.1.min.js,234,0,0
1662881632854,248,https://redberylit.com/index.php-15,200,OK,Thread Group 1-1,text,true,,21102,621,1,1,https://redberylit.com/js/popper.min.js,242,0,0
1662881632904,267,https://redberylit.com/index.php-16,200,OK,Thread Group 1-1,text,true,,51816,624,1,1,https://redberylit.com/js/bootstrap.min.js,255,0,0
1662881632953,277,https://redberylit.com/index.php-17,200,OK,Thread Group 1-1,text,true,,7062,635,1,1,https://redberylit.com/vendors/animate-css/wow.min.js,277,0,0
1662881633102,266,https://redberylit.com/index.php-18,200,OK,Thread Group 1-1,text,true,,45115,645,1,1,https://redberylit.com/vendors/owl-carousel/owl.carousel.min.js,255,0,0
1662881633102,245,https://redberylit.com/index.php-19,200,OK,Thread Group 1-1,text,true,,9602,646,1,1,https://redberylit.com/vendors/counterup/jquery.waypoints.min.js,243,0,0
1662881633172,255,https://redberylit.com/index.php-20,200,OK,Thread Group 1-1,text,true,,1830,646,1,1,https://redberylit.com/vendors/counterup/jquery.counterup.min.js,254,0,0
